opportunity_id,customer_id,product_name,deal_value_usd,stage,sales_rep,close_date
O00028,C0862,Commodity Insights,204348,Negotiation,Bob,2026-03-18
O00029,C0041,Commodity Insights,178207,Proposal,Carol,2026-12-13
O00030,C0918,Market Intelligence,170312,Negotiation,David,2026-02-21
O00031,C0449,ESG Analytics,54666,Proposal,Alice,2026-04-01
O00032,C0738,ESG Analytics,67517,Closed Won,David,2026-02-26
O00033,C0554,ESG Analytics,85669,Closed Won,Emma,2026-08-01
O00034,C0038,Commodity Insights,19694,Negotiation,Alice,2026-07-04
O00035,C0217,ESG Analytics,179932,Closed Lost,David,2026-11-28
O00036,C0896,ESG Analytics,44047,Closed Lost,Bob,2026-02-02
O00037,C0754,Market Intelligence,133160,Prospecting,David,2026-10-02
O00038,C0249,ESG Analytics,175075,Proposal,Alice,2026-03-21
O00039,C0052,Commodity Insights,220151,Prospecting,David,2026-10-06
O00040,C0856,ESG Analytics,21766,Prospecting,Alice,2026-08-20
O00041,C0819,ESG Analytics,62821,Prospecting,Bob,2026-07-11
O00042,C0831,ESG Analytics,182837,Closed Won,Carol,2026-02-22
O00043,C0590,ESG Analytics,41000,Negotiation,Bob,2026-01-19
O00044,C0178,Commodity Insights,21573,Prospecting,Carol,2026-03-25
O00045,C0426,Market Intelligence,187529,Negotiation,Emma,2026-03-15
O00046,C0250,ESG Analytics,15668,Proposal,Alice,2026-11-20
O00047,C0386,Market Intelligence,9097,Closed Won,Alice,2026-01-01
O00048,C0184,Market Intelligence,190267,Closed Lost,Carol,2026-07-23
O00049,C0827,Commodity Insights,186497,Proposal,Bob,2026-03-21
O00050,C0278,ESG Analytics,123074,Closed Won,Bob,2026-03-20
O00051,C0709,Market Intelligence,161309,Proposal,David,2026-10-03
O00052,C0643,Commodity Insights,96187,Closed Won,Alice,2026-09-08
O00053,C0197,Market Intelligence,143988,Prospecting,Emma,2026-06-28
O00054,C0780,ESG Analytics,138048,Proposal,David,2026-11-22
O00055,C0214,Commodity Insights,18911,Proposal,Alice,2026-03-22
O00056,C0865,Commodity Insights,135420,Proposal,Bob,2026-11-02
O00057,C0056,ESG Analytics,100471,Negotiation,Bob,2026-07-09
O00058,C0343,ESG Analytics,216066,Closed Won,Alice,2026-02-24
O00059,C0054,ESG Analytics,51107,Proposal,Alice,2026-08-17
O00060,C0119,Market Intelligence,239639,Proposal,David,2026-10-19
O00061,C0334,Commodity Insights,57101,Negotiation,Bob,2026-02-11
O00062,C0234,Market Intelligence,67159,Closed Won,Bob,2026-07-08
O00063,C0076,Commodity Insights,158378,Closed Won,Alice,2026-07-05
O00064,C0222,ESG Analytics,124273,Proposal,David,2026-06-05
O00065,C0469,ESG Analytics,55896,Negotiation,Carol,2026-04-11
O00066,C0131,Market Intelligence,186458,Closed Lost,Alice,2026-05-05
O00067,C0114,Commodity Insights,125213,Closed Won,Bob,2026-06-08
O00068,C0908,Commodity Insights,163239,Proposal,Emma,2026-03-19
O00069,C0994,ESG Analytics,229134,Proposal,Alice,2026-07-28
O00070,C0535,Commodity Insights,231020,Proposal,Emma,2026-08-27
O00071,C0474,Commodity Insights,8802,Closed Won,Bob,2026-04-11
O00072,C0445,ESG Analytics,63302,Closed Lost,Bob,2026-10-01
O00073,C0428,Market Intelligence,15501,Closed Won,Emma,2026-01-14
O00074,C0544,Commodity Insights,130637,Prospecting,David,2026-08-08
O00075,C0086,ESG Analytics,202415,Prospecting,David,2026-04-05
O00076,C0368,Commodity Insights,67668,Prospecting,Alice,2026-08-22
O00077,C0313,Market Intelligence,189367,Closed Won,Emma,2026-12-19
O00078,C0025,Commodity Insights,126572,Proposal,David,2026-03-26
O00079,C0893,Commodity Insights,169314,Closed Won,Alice,2026-11-03
O00080,C0395,ESG Analytics,92269,Closed Lost,Alice,2026-05-14
O00081,C0771,Commodity Insights,187990,Closed Lost,Emma,2026-10-26
O00082,C0213,ESG Analytics,26222,Closed Lost,Carol,2026-12-02
O00083,C0528,ESG Analytics,100417,Prospecting,Alice,2026-07-12
O00084,C0477,ESG Analytics,15714,Negotiation,Carol,2026-03-21
O00085,C0573,ESG Analytics,22565,Closed Lost,Bob,2026-03-11
O00086,C0245,ESG Analytics,34768,Closed Won,Emma,2026-12-07
O00087,C0772,ESG Analytics,204461,Proposal,Carol,2026-06-09
O00088,C0516,ESG Analytics,115868,Negotiation,Alice,2026-02-12
O00089,C0354,Commodity Insights,132461,Closed Lost,Emma,2026-02-16
O00090,C0727,ESG Analytics,182814,Closed Lost,Carol,2026-08-20
O00091,C0377,ESG Analytics,186724,Prospecting,Bob,2026-08-03
O00092,C0083,Commodity Insights,240391,Proposal,Carol,2026-02-04
O00093,C0169,Commodity Insights,34366,Proposal,David,2026-03-28
O00094,C0210,ESG Analytics,169436,Prospecting,Carol,2026-07-22
O00095,C0555,Market Intelligence,129231,Negotiation,David,2026-08-24
O00096,C0661,Market Intelligence,81419,Proposal,Alice,2026-01-28
O00097,C0822,Market Intelligence,223876,Closed Lost,Carol,2026-07-19
O00098,C0352,ESG Analytics,174358,Negotiation,David,2026-10-22
O00099,C0714,ESG Analytics,225701,Closed Lost,David,2026-08-10
O00100,C0581,Market Intelligence,240479,Negotiation,Bob,2026-05-08
O00101,C0496,Commodity Insights,80535,Prospecting,Bob,2026-06-10
O00102,C0467,Market Intelligence,167170,Proposal,Emma,2026-05-06
O00103,C0997,Market Intelligence,225025,Proposal,Bob,2026-04-04
O00104,C0043,Commodity Insights,155608,Proposal,David,2026-05-12
O00105,C0189,Market Intelligence,152452,Prospecting,Carol,2026-06-05
O00106,C0382,Commodity Insights,146522,Proposal,Emma,2026-05-04
O00107,C0943,Market Intelligence,111053,Closed Won,Bob,2026-08-11
O00108,C0160,Market Intelligence,198592,Closed Lost,Emma,2026-06-21
O00109,C0723,Commodity Insights,129232,Negotiation,Emma,2026-11-05
O00110,C0819,ESG Analytics,195983,Closed Won,Carol,2026-12-04
O00111,C0750,Commodity Insights,240975,Prospecting,Bob,2026-11-18
O00112,C0120,Commodity Insights,11500,Closed Won,Emma,2026-04-15
O00113,C0366,Market Intelligence,90555,Prospecting,Emma,2026-11-07
O00114,C0598,ESG Analytics,63233,Negotiation,Bob,2026-01-03
O00115,C0552,Commodity Insights,182488,Prospecting,Emma,2026-07-07
O00116,C0503,Commodity Insights,163117,Closed Lost,Emma,2026-01-22
O00117,C0370,Commodity Insights,43783,Closed Won,Carol,2026-07-12
O00118,C0013,Commodity Insights,95418,Negotiation,Carol,2026-08-28
O00119,C0575,Market Intelligence,61543,Closed Won,David,2026-08-10
O00120,C0168,ESG Analytics,240332,Closed Won,David,2026-03-27
O00121,C0602,ESG Analytics,27564,Proposal,Bob,2026-05-16
O00122,C0889,ESG Analytics,92927,Prospecting,Emma,2026-07-03
O00123,C0007,Commodity Insights,172459,Negotiation,David,2026-03-18
O00124,C0474,ESG Analytics,153875,Proposal,Bob,2026-03-27
O00125,C0391,Commodity Insights,150192,Closed Won,Alice,2026-05-27
O00126,C0600,Commodity Insights,134525,Closed Lost,David,2026-04-01
O00127,C0811,Market Intelligence,45376,Negotiation,Carol,2026-11-27
O00128,C0652,Commodity Insights,37552,Negotiation,David,2026-03-16
O00129,C0929,ESG Analytics,174026,Proposal,Alice,2026-02-25
O00130,C0284,Commodity Insights,22491,Closed Lost,Carol,2026-10-16
O00131,C0580,Commodity Insights,232631,Negotiation,David,2026-12-27
O00132,C0123,Commodity Insights,139355,Closed Lost,Alice,2026-05-06
O00133,C0596,Market Intelligence,43308,Negotiation,David,2026-12-05
O00134,C0366,Market Intelligence,18864,Negotiation,Carol,2026-07-21
O00135,C0934,Commodity Insights,17770,Negotiation,Carol,2026-09-21
O00136,C0959,Market Intelligence,139707,Proposal,Bob,2026-02-20
O00137,C0771,Market Intelligence,147530,Negotiation,Carol,2026-11-26
O00138,C0309,Commodity Insights,184684,Negotiation,Alice,2026-09-19
O00139,C0361,Market Intelligence,8381,Proposal,Emma,2026-05-12
O00140,C0798,Commodity Insights,113001,Negotiation,Bob,2026-02-07
O00141,C0159,ESG Analytics,62963,Proposal,Emma,2026-10-23
O00142,C0852,ESG Analytics,226792,Closed Lost,Emma,2026-12-25
O00143,C0822,Market Intelligence,114404,Closed Won,Alice,2026-02-27
O00144,C0135,Market Intelligence,130702,Negotiation,Carol,2026-12-12
O00145,C0143,Commodity Insights,238236,Closed Lost,Emma,2026-06-06
O00146,C0727,Commodity Insights,12539,Prospecting,Bob,2026-03-28
O00147,C0711,Market Intelligence,185367,Proposal,Carol,2026-03-07
O00148,C0134,Market Intelligence,116360,Prospecting,Alice,2026-01-25
O00149,C0496,Commodity Insights,16145,Proposal,Alice,2026-01-26
O00150,C0676,ESG Analytics,160497,Prospecting,David,2026-02-09
O00151,C0045,Market Intelligence,84074,Prospecting,Alice,2026-02-20
O00152,C0211,ESG Analytics,241237,Proposal,Bob,2026-11-12
O00153,C0030,Market Intelligence,43156,Negotiation,Emma,2026-06-12
O00154,C0165,ESG Analytics,209682,Closed Lost,Bob,2026-09-19
O00155,C0070,Market Intelligence,219849,Closed Lost,Alice,2026-09-07
O00156,C0733,Market Intelligence,78887,Proposal,Emma,2026-01-24
O00157,C0102,Market Intelligence,246297,Closed Lost,David,2026-06-23
O00158,C0604,Market Intelligence,120255,Prospecting,Bob,2026-06-13
O00159,C0435,Market Intelligence,139807,Proposal,David,2026-02-25
O00160,C0322,Market Intelligence,127133,Prospecting,Emma,2026-03-16
O00161,C0781,Commodity Insights,189740,Negotiation,Emma,2026-12-02
O00162,C0085,Commodity Insights,134423,Prospecting,David,2026-05-15
O00163,C0615,ESG Analytics,86790,Closed Won,Bob,2026-09-14
O00164,C0298,Commodity Insights,54488,Prospecting,David,2026-11-12
O00165,C0184,Market Intelligence,181726,Closed Won,Alice,2026-07-15
O00166,C0536,ESG Analytics,182345,Prospecting,Alice,2026-03-13
O00167,C0411,ESG Analytics,159811,Prospecting,Bob,2026-02-12
O00168,C0999,Market Intelligence,93770,Proposal,Emma,2026-07-04
O00169,C0239,Commodity Insights,195106,Closed Won,Carol,2026-12-25
O00170,C0596,ESG Analytics,76558,Closed Won,Carol,2026-08-22
O00171,C0618,Commodity Insights,132017,Closed Lost,Carol,2026-03-25
O00172,C0466,Market Intelligence,37031,Negotiation,David,2026-08-08
O00173,C0644,Market Intelligence,12791,Prospecting,Alice,2026-02-16
O00174,C0695,Market Intelligence,51948,Closed Won,Emma,2026-11-11
O00175,C0157,Commodity Insights,168044,Closed Lost,Alice,2026-02-22
O00176,C0770,ESG Analytics,206214,Closed Won,David,2026-04-10
O00177,C0678,Commodity Insights,133516,Closed Lost,Carol,2026-09-11
O00178,C0829,ESG Analytics,148293,Prospecting,Alice,2026-07-04
O00179,C0393,Commodity Insights,87459,Closed Won,David,2026-08-02
O00180,C0034,Market Intelligence,150926,Negotiation,Bob,2026-08-14
O00181,C0138,Commodity Insights,192622,Closed Won,David,2026-02-19
O00182,C0692,Commodity Insights,178035,Closed Lost,Emma,2026-10-16
O00183,C0488,ESG Analytics,228963,Proposal,Emma,2026-01-13
O00184,C0270,Commodity Insights,159938,Closed Won,Emma,2026-11-12
O00185,C0785,Commodity Insights,89012,Prospecting,Alice,2026-10-02
O00186,C0132,Commodity Insights,96455,Closed Lost,Alice,2026-11-11
O00187,C0390,Market Intelligence,117236,Negotiation,Carol,2026-07-12
O00188,C0058,ESG Analytics,69023,Proposal,Bob,2026-11-10
O00189,C0607,Market Intelligence,243653,Prospecting,Carol,2026-02-11
O00190,C0174,Market Intelligence,146142,Negotiation,Alice,2026-08-22
O00191,C0885,Commodity Insights,153910,Closed Lost,David,2026-05-01
O00192,C0713,Commodity Insights,159137,Prospecting,Carol,2026-07-19
O00193,C0400,Commodity Insights,155087,Prospecting,David,2026-02-23
O00194,C0692,Market Intelligence,93071,Closed Won,Emma,2026-11-11
O00195,C0171,ESG Analytics,83517,Negotiation,David,2026-04-16
O00196,C0651,Market Intelligence,225300,Closed Lost,Bob,2026-05-09
O00197,C0049,Commodity Insights,155345,Closed Won,Bob,2026-10-24
O00198,C0981,Market Intelligence,193142,Closed Lost,Alice,2026-10-11
O00199,C0280,Market Intelligence,153485,Closed Lost,David,2026-07-07
O00200,C0356,Market Intelligence,175796,Negotiation,Emma,2026-05-14
O00201,C0680,ESG Analytics,87143,Proposal,David,2026-07-09
O00202,C0640,ESG Analytics,123811,Closed Lost,Bob,2026-01-21
O00203,C0721,ESG Analytics,231154,Proposal,Emma,2026-08-07
O00204,C0677,ESG Analytics,127498,Negotiation,Emma,2026-10-28
O00205,C0788,Commodity Insights,153404,Prospecting,Emma,2026-04-12
O00206,C0474,Market Intelligence,68012,Proposal,Carol,2026-07-14
O00207,C0327,Market Intelligence,171180,Proposal,David,2026-05-27
O00208,C0294,ESG Analytics,47096,Negotiation,Emma,2026-04-13
O00209,C0245,Market Intelligence,44311,Proposal,Alice,2026-04-26
O00210,C0848,Commodity Insights,126676,Closed Won,Emma,2026-07-14
O00211,C0663,Market Intelligence,57950,Proposal,Carol,2026-03-01
O00212,C0265,Commodity Insights,177666,Closed Lost,Bob,2026-11-28
O00213,C0044,ESG Analytics,132360,Prospecting,Alice,2026-02-11
O00214,C0617,Commodity Insights,232323,Prospecting,David,2026-06-22
O00215,C0674,Market Intelligence,109043,Proposal,Bob,2026-02-19
O00216,C0753,ESG Analytics,249563,Prospecting,Emma,2026-11-27
O00217,C0595,ESG Analytics,71009,Closed Won,Alice,2026-04-20
O00218,C0126,Commodity Insights,91320,Closed Lost,David,2026-12-24
O00219,C0242,Commodity Insights,62149,Proposal,Alice,2026-03-07
O00220,C0994,Commodity Insights,120205,Closed Won,Carol,2026-10-02
O00221,C0503,ESG Analytics,103226,Prospecting,Carol,2026-09-14
O00222,C0487,ESG Analytics,69578,Negotiation,Bob,2026-06-16
O00223,C0733,Commodity Insights,220316,Negotiation,Alice,2026-11-20
O00224,C0036,ESG Analytics,178597,Prospecting,Bob,2026-05-18
O00225,C0394,Commodity Insights,172496,Negotiation,Alice,2026-09-28
O00226,C0243,Commodity Insights,106835,Prospecting,David,2026-05-10
O00227,C0093,Market Intelligence,82967,Proposal,Bob,2026-08-21
O00228,C0325,ESG Analytics,111506,Prospecting,Carol,2026-02-27
O00229,C0799,Commodity Insights,128493,Closed Won,Carol,2026-12-14
O00230,C0898,Market Intelligence,221111,Proposal,Carol,2026-09-03
O00231,C0361,Commodity Insights,162841,Closed Lost,Carol,2026-08-23
O00232,C0029,Market Intelligence,173132,Proposal,David,2026-11-05
O00233,C0004,Commodity Insights,57448,Negotiation,Carol,2026-10-03
O00234,C0114,Market Intelligence,70432,Closed Lost,Bob,2026-10-22
O00235,C0421,Commodity Insights,123355,Closed Won,Bob,2026-05-06
O00236,C0704,ESG Analytics,221732,Negotiation,Carol,2026-04-03
O00237,C0425,Commodity Insights,52681,Closed Won,David,2026-10-08
O00238,C0022,Market Intelligence,246988,Closed Lost,Emma,2026-11-08
O00239,C0929,Market Intelligence,126221,Proposal,Carol,2026-12-28
O00240,C0173,Market Intelligence,110128,Closed Lost,David,2026-10-09
O00241,C0153,Market Intelligence,101448,Proposal,Emma,2026-02-01
O00242,C0736,ESG Analytics,119074,Closed Won,David,2026-02-08
O00243,C0731,Market Intelligence,54950,Negotiation,Carol,2026-12-16
O00244,C0392,Market Intelligence,118064,Proposal,Emma,2026-04-27
O00245,C0290,ESG Analytics,182520,Proposal,David,2026-03-14
O00246,C0812,Market Intelligence,12542,Negotiation,Carol,2026-04-20
O00247,C0462,Market Intelligence,101898,Closed Lost,David,2026-02-01
O00248,C0481,Market Intelligence,233443,Negotiation,David,2026-11-07
O00249,C0731,Commodity Insights,190716,Closed Won,Emma,2026-05-03
O00250,C0098,ESG Analytics,20401,Prospecting,Carol,2026-04-16
O00251,C0931,Commodity Insights,163957,Closed Lost,Alice,2026-01-09
O00252,C0517,ESG Analytics,104860,Negotiation,David,2026-11-12
O00253,C0136,ESG Analytics,15780,Closed Lost,Bob,2026-05-06
O00254,C0516,Commodity Insights,248879,Negotiation,David,2026-03-03
O00255,C0325,ESG Analytics,144047,Closed Won,Bob,2026-05-04
O00256,C0321,Market Intelligence,38520,Closed Won,Carol,2026-12-12
O00257,C0949,Commodity Insights,79167,Negotiation,Emma,2026-05-17
O00258,C0321,Commodity Insights,239008,Proposal,Carol,2026-12-16
O00259,C0783,Market Intelligence,150666,Closed Won,Alice,2026-04-05
O00260,C0056,Market Intelligence,53009,Prospecting,David,2026-05-06
O00261,C0723,Commodity Insights,119407,Prospecting,David,2026-01-15
O00262,C0366,ESG Analytics,152024,Closed Won,David,2026-08-04
O00263,C0867,ESG Analytics,232247,Proposal,Alice,2026-06-03
O00264,C0209,Commodity Insights,52357,Proposal,Emma,2026-05-19
O00265,C0913,ESG Analytics,158531,Proposal,Emma,2026-01-17
O00266,C0786,ESG Analytics,52335,Closed Won,Alice,2026-04-25
O00267,C0511,ESG Analytics,29721,Negotiation,Alice,2026-05-22
O00268,C0697,Market Intelligence,108329,Negotiation,Emma,2026-02-27
O00269,C0332,Market Intelligence,12569,Prospecting,David,2026-12-22
O00270,C0492,Commodity Insights,169719,Negotiation,Emma,2026-11-01
O00271,C0338,Market Intelligence,177011,Closed Lost,David,2026-06-24
O00272,C0752,ESG Analytics,38900,Proposal,Alice,2026-11-10
O00273,C0331,Market Intelligence,199982,Prospecting,Emma,2026-10-13
O00274,C0095,Commodity Insights,71889,Proposal,Bob,2026-07-03
O00275,C0022,Market Intelligence,47713,Closed Won,David,2026-05-21
O00276,C0771,ESG Analytics,45405,Prospecting,Carol,2026-08-26
O00277,C0443,ESG Analytics,216380,Negotiation,Emma,2026-03-12
O00278,C0682,Market Intelligence,223117,Negotiation,Emma,2026-04-16
O00279,C0457,Commodity Insights,129895,Negotiation,Emma,2026-10-14
O00280,C0093,Commodity Insights,217597,Negotiation,Emma,2026-03-14
O00281,C0646,Commodity Insights,29365,Prospecting,Emma,2026-06-15
O00282,C0693,Market Intelligence,174767,Proposal,David,2026-09-21
O00283,C0663,ESG Analytics,27012,Negotiation,David,2026-07-03
O00284,C0929,Commodity Insights,83746,Proposal,Bob,2026-11-10
O00285,C0862,Market Intelligence,142125,Closed Won,Carol,2026-10-02
O00286,C0565,Market Intelligence,245465,Prospecting,Emma,2026-02-17
O00287,C0436,Commodity Insights,29768,Closed Won,Emma,2026-05-12
O00288,C0261,ESG Analytics,26435,Closed Lost,Alice,2026-02-24
O00289,C0678,Commodity Insights,52068,Proposal,David,2026-01-03
O00290,C0427,ESG Analytics,83026,Negotiation,Emma,2026-12-15
O00291,C0776,ESG Analytics,122951,Closed Lost,Carol,2026-06-28
O00292,C0830,Market Intelligence,60330,Proposal,Alice,2026-12-20
O00293,C0266,ESG Analytics,32873,Closed Won,Emma,2026-01-01
O00294,C0405,Market Intelligence,8487,Proposal,David,2026-08-23
O00295,C0415,ESG Analytics,200099,Closed Lost,David,2026-05-20
O00296,C0833,ESG Analytics,99562,Closed Won,Carol,2026-02-05
O00297,C0139,Market Intelligence,55017,Prospecting,Alice,2026-12-07
O00298,C0880,Market Intelligence,59848,Closed Won,Bob,2026-11-08
O00299,C0447,ESG Analytics,229969,Closed Lost,Bob,2026-02-10
O00300,C0789,Commodity Insights,43840,Closed Won,David,2026-01-04
O00301,C0171,Market Intelligence,198667,Closed Won,David,2026-08-01
O00302,C0881,Commodity Insights,158413,Proposal,Bob,2026-05-19
O00303,C0850,Commodity Insights,18348,Negotiation,Alice,2026-02-21
O00304,C0868,ESG Analytics,118190,Closed Won,David,2026-12-19
O00305,C0611,ESG Analytics,150307,Negotiation,Alice,2026-08-13
O00306,C0498,ESG Analytics,159937,Closed Lost,David,2026-04-23
O00307,C0063,ESG Analytics,9985,Closed Won,Emma,2026-06-18
O00308,C0066,Commodity Insights,239062,Closed Won,David,2026-02-16
O00309,C0638,ESG Analytics,95902,Closed Won,David,2026-01-06
O00310,C0295,ESG Analytics,55384,Closed Won,Carol,2026-08-08
O00311,C0520,Market Intelligence,159051,Negotiation,Emma,2026-12-22
O00312,C0480,Market Intelligence,236518,Negotiation,David,2026-07-27
O00313,C0964,ESG Analytics,176049,Negotiation,David,2026-03-20
O00314,C0213,Commodity Insights,186062,Prospecting,David,2026-03-06
O00315,C0205,Market Intelligence,163793,Closed Won,Alice,2026-07-16
O00316,C0311,Market Intelligence,59901,Closed Lost,Alice,2026-01-12
O00317,C0903,Commodity Insights,98596,Proposal,Bob,2026-09-02
O00318,C0827,Market Intelligence,93535,Closed Won,Alice,2026-10-08
O00319,C0124,ESG Analytics,63745,Closed Won,Carol,2026-06-26
O00320,C0364,Market Intelligence,206875,Closed Lost,Carol,2026-03-28
O00321,C0707,ESG Analytics,163410,Prospecting,Alice,2026-08-26
O00322,C0469,Market Intelligence,32758,Closed Lost,Emma,2026-02-27
O00323,C0576,Market Intelligence,137987,Prospecting,Bob,2026-11-04
O00324,C0892,Market Intelligence,243809,Negotiation,Bob,2026-12-10
O00325,C0726,Commodity Insights,204744,Closed Lost,David,2026-12-28
O00326,C0102,Market Intelligence,174631,Negotiation,Carol,2026-03-04
O00327,C0869,Market Intelligence,120109,Closed Won,Alice,2026-04-27
O00328,C0829,Commodity Insights,94475,Negotiation,Emma,2026-03-03
O00329,C0273,Commodity Insights,192485,Closed Won,Carol,2026-11-22
O00330,C0252,Market Intelligence,202448,Closed Lost,David,2026-04-05
O00331,C0822,Commodity Insights,113372,Closed Won,David,2026-09-26
O00332,C0699,Commodity Insights,12802,Closed Won,Bob,2026-01-23
O00333,C0826,ESG Analytics,23240,Prospecting,Carol,2026-06-13
O00334,C0791,Market Intelligence,118789,Prospecting,David,2026-01-22
O00335,C0945,ESG Analytics,44571,Closed Lost,Alice,2026-11-23
O00336,C0819,ESG Analytics,234589,Closed Lost,Carol,2026-07-13
O00337,C0908,ESG Analytics,188707,Closed Lost,Carol,2026-12-24
O00338,C0322,Commodity Insights,7071,Negotiation,Emma,2026-10-05
O00339,C0718,Commodity Insights,121965,Proposal,Emma,2026-10-26
O00340,C0634,ESG Analytics,120905,Negotiation,David,2026-04-10
O00341,C0087,Market Intelligence,145884,Negotiation,David,2026-12-24
O00342,C0758,Market Intelligence,141438,Closed Lost,Carol,2026-04-03
O00343,C0524,ESG Analytics,86855,Closed Lost,Carol,2026-11-06
O00344,C0024,Market Intelligence,238391,Closed Lost,Emma,2026-05-08
O00345,C0853,Commodity Insights,195450,Closed Won,Emma,2026-02-24
O00346,C0062,Commodity Insights,73093,Closed Lost,Carol,2026-02-02
O00347,C0775,ESG Analytics,37702,Closed Won,Carol,2026-10-24
O00348,C0006,Commodity Insights,93861,Proposal,Emma,2026-10-23
O00349,C0916,ESG Analytics,179462,Closed Lost,Emma,2026-04-12
O00350,C0307,Commodity Insights,179829,Closed Lost,Bob,2026-12-13
O00351,C0533,ESG Analytics,69915,Prospecting,Carol,2026-09-19
O00352,C0198,Commodity Insights,124094,Prospecting,Bob,2026-12-14
O00353,C0849,Commodity Insights,26481,Prospecting,Alice,2026-07-05
O00354,C0488,Market Intelligence,121959,Prospecting,Carol,2026-11-17
O00355,C0413,ESG Analytics,151530,Closed Lost,David,2026-05-19
O00356,C0511,ESG Analytics,115997,Closed Won,David,2026-12-14
O00357,C0844,Market Intelligence,42839,Closed Lost,Bob,2026-08-23
O00358,C0469,Market Intelligence,189686,Closed Lost,Emma,2026-02-23
O00359,C0218,Commodity Insights,129087,Prospecting,Bob,2026-09-12
O00360,C0944,Market Intelligence,162705,Closed Won,Alice,2026-02-12
O00361,C0586,Commodity Insights,15559,Closed Lost,Bob,2026-02-12
O00362,C0313,Commodity Insights,84497,Negotiation,David,2026-01-26
O00363,C0147,Market Intelligence,210466,Closed Lost,David,2026-01-10
O00364,C0911,Commodity Insights,61513,Proposal,David,2026-01-04
O00365,C0561,Commodity Insights,22711,Prospecting,David,2026-08-19
O00366,C0318,ESG Analytics,123587,Negotiation,David,2026-08-27
O00367,C0738,ESG Analytics,39815,Proposal,Emma,2026-11-15
O00368,C0780,Commodity Insights,179907,Closed Won,Bob,2026-12-11
O00369,C0092,ESG Analytics,179195,Closed Lost,David,2026-07-08
O00370,C0922,Commodity Insights,93866,Closed Lost,Alice,2026-11-15
O00371,C0754,Commodity Insights,174323,Prospecting,Bob,2026-12-01
O00372,C0586,ESG Analytics,213708,Negotiation,Emma,2026-11-04
O00373,C0660,ESG Analytics,27322,Proposal,Emma,2026-09-19
O00374,C0776,Market Intelligence,154486,Closed Lost,Bob,2026-08-17
O00375,C0919,Market Intelligence,36531,Closed Lost,Bob,2026-01-09
O00376,C0806,Market Intelligence,69300,Closed Lost,David,2026-02-26
O00377,C0547,ESG Analytics,88999,Closed Won,Emma,2026-01-16
O00378,C0883,Market Intelligence,94117,Closed Won,Bob,2026-07-01
O00379,C0881,ESG Analytics,88199,Closed Won,Carol,2026-02-04
O00380,C0102,ESG Analytics,49081,Negotiation,Bob,2026-03-09
O00381,C0787,Market Intelligence,45429,Negotiation,David,2026-11-06
O00382,C0061,ESG Analytics,90273,Proposal,Alice,2026-12-02
O00383,C0306,Commodity Insights,30885,Negotiation,Bob,2026-07-11
O00384,C0265,Commodity Insights,221987,Prospecting,Alice,2026-04-08
O00385,C0771,ESG Analytics,158624,Proposal,David,2026-09-25
O00386,C0517,Commodity Insights,35167,Negotiation,Alice,2026-06-15
O00387,C0567,Commodity Insights,22159,Closed Won,Alice,2026-07-21
O00388,C0240,Market Intelligence,75558,Closed Lost,Emma,2026-11-04
O00389,C0253,ESG Analytics,175800,Proposal,Carol,2026-10-14
O00390,C0457,Market Intelligence,226846,Closed Lost,Bob,2026-03-12
O00391,C0554,Market Intelligence,210002,Proposal,Emma,2026-07-18
O00392,C0463,Market Intelligence,5262,Closed Won,Emma,2026-05-21
